Name,Title
Umesh Khanna (xAI),
Aadit Juneja,
Aaron Willey,
Aayan Agarwal,
Aayush,
Abhay Lal,
Abhinav jain,
Abhinav Pandey,
Abhinav Reddy,
Abhinav Venkatadri,
Adam,
Adi Singh,https://adisingh.com
aditya,
Advait Paliwal(you),
Agastya Kalagarla,
Agneya Tharun,
Ahilan Karuppusami,
Ahmed Anwer,
Ahmet Dedeler,
Aidan Whitedeer,
Ajay Krishnan,
ajedwards,
Ajinkya,
Ajit Singh,
Akezhan,
Akshat Shah,
Akshat Shenoi,
Akshay Jain,
Akshit,
alain,
Alan Arguello,
Albert Dai,
Alberto Mejia,
Alex Finn,
Alex Lin Wang,
Alex Lipendin,
Alex Reznik,
Alex Zhuang (xAI),X Algorithm
Alexander Fritsler (xAI),
Alexander Wang,
Ali Ahmed,
Ali Bibak,
Ali Shariatmadari,@alish2001_
aliu266,
Allen,
Allen Su,
Allie,xAI
Aman Goel,
Amire,
Ammad hassan,
Amy Huang (xAI),
Andrei Lyskov,
Andres,
Andrew,
Andrew Chu,
Andrew Lee,
Andrew McMorrow,
Andrey Bukati,
Andrey Gizdov,
Andy Wang,
Angela Felicia,
Angelina Quan,
Anika Somaia,
Anish K,
Anitej Thamma,
Anmol Singh,
Annanay,
Anpoo Sivanadi,
Ansh Chaturvedi,
Anshul Dhawan,
Anshul Saha,
Ant,
Anthony Ji,
Anthony Wang,
Anto Patrex,
Anusha Jamkhandi,
apattamatta7,
aradhyeagarwal,
arash,
Aravind Viswanathan,
Arnav Sodhani,
Artem Yatsenko,
Artemii Novoselov,
Aryan Bagade,
Aryan Gupta,
Aryan Musharaf,
Aryender Singh,
Ash,
Ashik,
Ashish Mukharji,
Ashley Ha,
Ashton Chew,
Ashvath Suresh Kumar,
Atem,
Atishay Jain,
Aurelio Rosa,
Austin Wang,
av3,
Avikam Mangla,
Ayoub,Here to learn! Experience in end2end ML/data training pipelines  time-series data  signal processing  RL/control  etc.
Ayuj Verma,
Ayush Dewan,
Ayush Gundawar,
Aziz Albahar,
Baqiao (xAI),Lion Ushiromiya Larper
Barathwaj Anandan,
Baris Akis (XAI),
Baris Taze,
Barış Taze,
Ben,
Ben Cook,
Benedict Jhu (xAI),
Blake Ledden,
Bob z,
Bodhi Silberling,
Botao Xia,
Boyan,
Boyuan Long,
Brett (xAI),Enterprise
Brian,
brian (xAI),
Brian Zhang,
Bryan,
Bryan Ansong,
Calvin Huang,
Carlos Roldan,
Carson Noble,
Carson Yang,
Chandra Suda,
Charan Ramachandran,
Charles Liggins,
Chengling Qiu (xAI),
Chenyu Zhang,
Chhavi Sharma,
Chris,
Chris Lee,
Christina Lee (xAI),Reasoning | www.luoluo.ai
Christopher Park,
Clement Hathaway,Electrical Engineer
Crystal Liang,
cuevase,
Damien Murphy (xAI),
Daniel,
Daniel Dye (xAI),
Daniel James,
Daniel Pang,
Daniyal Khan,
Danny L,
Danny Xu,
Dare,
David Andrews,
David Cody Lingan,
David Harket,
David Town,
David Wang,
david yang,
Deepanshu,
Derek Yu,
Dev Patel,
Devam Shrivastava,
Dhenenjay 2001,
Dhyey Mavani,
Diego,
Dilzafer Singh,
Diya Girish Kumar,
Douglas Calhoun,
Dylan Li,
Eden Chan (xAI),
Elena Jin,
Eli Morin,
Elijah Kurien,
Eliot Hennebo,
Ellen Xu,
Emma Guo,
Emma Xing,
Erel Ozen,
Eric Huang,
Eric Jiang,
Erin Keane,
ernestyalumni,
Ethan,
Ethan Petersen,
Ethan Zemelman,
Evan,
Evan Hekman,
Evan Takahashi,
faisalhakimi101,
Farhaan Siddiqui,
Felipe Barbosa,
Festus Ojo,
Frank Gao,
fredrik,
Gabe Amare,
Gabriel Biren,
Gagan Ajjikuttira,
Gajesh Naik,
Gary Shin (xAI),
Gaurav Agerwala,
Gaurav Goel,
Gautham,
Geeth Gunnampalli,iOS / Front End Engineer
George Tang,
Giovanni D'Antonio,
Gregory Hornby,
Gregory Young,
Haily Nguyen,
Hao Ren,
Haoran Yuan,
harangju,
Hardik Srivastava,
Harshil Shah,Software Engineer
Hassam Gani,
Hayk Stepanyan,
Henil Gajjar,
Het Patel,
Hugo Biais,
Hung Tran,
Ihsaan Yasin,
Iñaki Arango,
Ioannis [John] Kapolos,
Irv,
Ishan Deshpande,
Ismail Faiz,
Ivan Karpenko,
izdomskyi,
Jack Yuan,
JackJack,
Jackson Luo,
jacob,
Jacob Cole,
Jaden Ryu,
Jaeyun Ha,
Jai Dhiman,
Jake Lee,
James,
Jarren San Jose,
Jason,
Jason Puwalski,
Jathin Pranav Singaraju,
jeff,
Jeong,
Jiarui (Jerry) Xu,
Jim,
Jingkang Zhang,
Jinha Kim,
Jo (xAI),Recruiter (xAI)
Jodi,
Joe,Safety @ X
Joey Huang,
Johannes Kindermann,
John,
John Kim,
Jon,
Jorge Rega,
Joseph Kim,
Joseph Visconti,
joshua goon,
Jue Hou,
julian,
Julian Carrier,
Julius Lipp,
Justin Wu,
Kaan Karakas,
Kaarel Kaarelson,
Kaival Shah,
Kaivan Shah,
Kaiwen Zhou,
Kamran Majid,
Karthik Ragunath Ananda Kumar,
Katie Cheng,
Kaushik,
Keerthi Nalabotu,
Kevin Leffew,
kevin xie,
Kevin Zhang,
Kevin Zheng,
Kirill Kayer,
Kirill Zubovsky,
Kiriti Badam93,
Korbin Schulz,
Koutian Huang (xAI),
Krish,
Krishna,
Kristian Diana,
Krushay,
ktbimm,
Kulv Lotay,
Kush Desai (xAI),
Kyle Kochi,
kzu,C# + xAI
Laith Altarabishi,
Lawrence Chen,
Lei,
Leo Jimenez,
leohliu,
Leon Bi,
Leon Li,
Leonie Engel,
Lev Stambler,
lex,
Liang Li,
Lior,
Liusi Xu,
Lixiang Chen,
Loubaba El Ayoubi,
Louise,
Luca Sfragara,
lucas,phd student @Mila  working on world models
Lucas,
Lucy,
Lucy Wu,
Luigi,
Luis Landeros,
Lukas Maschmann,
Maggie Liu,
Mahir Bansal,
Maksym Nesmashnyi,
Malshaik Me,
manav,
Manraaj Singh,
Manu,
Manvi Kaul (xAI),
Margarita Sanchez Parra,
marie boubez,
Mark Blake,
Mark Yang (xAI),
Martin Bergo,
Matan Halevy,
Mato Gudelj,
Matt,
Matt Steele,AI Product and Infra
Matthew Lu,
Matthias Heiming,
mboswell,
Mehdi Ben Haddou,
